Date,Price,Open,High,Low,Vol.,Change +ACU-
10/25/2022,27250.28,27113.2,27337.8,27073.18,,1.02+ACU-
10/24/2022,26974.9,27233,27308.97,26974.9,,0.31+ACU-
10/21/2022,26890.58,26903.5,26985.38,26869.38,,+AC0-0.43+ACU-
10/20/2022,27006.96,26981.75,27092.55,26872.45,,+AC0-0.92+ACU-
10/19/2022,27257.38,27225.17,27371.38,27192.79,,0.37+ACU-
10/18/2022,27156.14,27167.73,27229.88,26910.1,,1.42+ACU-
10/17/2022,26775.79,26785.02,26814.92,26649.13,,+AC0-1.16+ACU-
10/14/2022,27090.76,26599.32,27180.16,26595.35,,3.25+ACU-
10/13/2022,26237.42,26398.29,26408.31,26237.42,,+AC0-0.60+ACU-
10/12/2022,26396.83,26353.22,26495.75,26313.41,,+AC0-0.02+ACU-
10/11/2022,26401.25,26757.12,26759.62,26369.56,,+AC0-2.64+ACU-
10/07/2022,27116.11,26975.92,27198.91,26921.9,,+AC0-0.71+ACU-
10/06/2022,27311.3,27137.98,27399.19,27137.98,,0.70+ACU-
10/05/2022,27120.53,27211.32,27216.8,27030.55,,0.48+ACU-
10/04/2022,26992.21,26653.49,26994.44,26633.52,,2.96+ACU-
10/03/2022,26215.79,25778.95,26223.84,25621.96,,1.07+ACU-
09/30/2022,25937.21,26240,26273.65,25805.59,,+AC0-1.83+ACU-
09/29/2022,26422.05,26280.5,26458.67,26221.78,,0.95+ACU-
09/28/2022,26173.98,26422.86,26516.32,25938.36,,+AC0-1.50+ACU-
09/27/2022,26571.87,26585.38,26680.2,26523.77,,0.53+ACU-
09/26/2022,26431.55,26779.44,26779.44,26424.6,,+AC0-2.66+ACU-
09/22/2022,27153.83,27053.58,27197.07,26955.18,,+AC0-0.58+ACU-
09/21/2022,27313.13,27440.84,27467.34,27297.5,,+AC0-1.36+ACU-
09/20/2022,27688.42,27788.68,27907.45,27627.86,,0.44+ACU-
09/16/2022,27567.65,27631.39,27654.99,27525.68,,+AC0-1.11+ACU-
09/15/2022,27875.91,27873.96,27946.2,27801.44,,0.21+ACU-
09/14/2022,27818.62,28132.7,28141.92,27795.64,,+AC0-2.78+ACU-
09/13/2022,28614.63,28556.21,28659.76,28530.36,,0.25+ACU-
09/12/2022,28542.11,28483.59,28612.89,28438.37,,1.16+ACU-
09/09/2022,28214.75,28204.71,28286.02,28091.38,,0.53+ACU-
09/08/2022,28065.28,27732.68,28083.79,27718.3,,2.31+ACU-
09/07/2022,27430.3,27546.01,27546.01,27268.7,,+AC0-0.71+ACU-
09/06/2022,27626.51,27650.15,27813.78,27557.99,,0.02+ACU-
09/05/2022,27619.61,27567.29,27673.44,27511.68,,+AC0-0.11+ACU-
09/02/2022,27650.84,27755.6,27772.37,27570.74,,+AC0-0.04+ACU-
09/01/2022,27661.47,27797,27832.78,27589.7,,+AC0-1.53+ACU-
08/31/2022,28091.53,27928.09,28104.8,27906.17,,+AC0-0.37+ACU-
08/30/2022,28195.58,28086.72,28233.8,27944.25,,1.14+ACU-
08/29/2022,27878.96,28161.06,28179.09,27788.12,,+AC0-2.66+ACU-
08/26/2022,28641.38,28639.47,28792.93,28608.7,,0.57+ACU-
08/25/2022,28479.01,28415.11,28534.71,28357.03,,0.58+ACU-
08/24/2022,28313.47,28481.34,28515.61,28282.21,,+AC0-0.49+ACU-
08/23/2022,28452.75,28580.2,28580.2,28395.3,,+AC0-1.19+ACU-
08/22/2022,28794.5,28654.07,28828.21,28586.36,,+AC0-0.47+ACU-
08/19/2022,28930.33,29095.71,29150.8,28913.05,,+AC0-0.04+ACU-
08/18/2022,28942.14,28957.4,28999.64,28846.52,,+AC0-0.96+ACU-
08/17/2022,29222.77,28952.65,29222.77,28944.71,,1.23+ACU-
08/16/2022,28868.91,28829.53,28928.16,28752.88,,+AC0-0.01+ACU-
08/15/2022,28871.78,28623.78,28897.07,28623.78,,1.14+ACU-
