Date,Price,Open,High,Low,Vol.,Change +ACU-
08/12/2023,7554.47,7513.72,7581.32,7509.83,779.76M,0.54+ACU-
07/12/2023,7513.72,7515.38,7523.57,7480.49,789.53M,+AC0-0.02+ACU-
06/12/2023,7515.38,7489.84,7542.57,7486.8,1.42B,0.34+ACU-
05/12/2023,7489.84,7512.96,7512.96,7460.21,661.29M,+AC0-0.31+ACU-
04/12/2023,7512.96,7529.35,7533.81,7476.85,818.38M,+AC0-0.22+ACU-
01/12/2023,7529.35,7453.75,7538.71,7453.75,549.09M,1.01+ACU-
30/11/2023,7453.75,7423.46,7497.68,7387.09,1.27B,0.41+ACU-
29/11/2023,7423.46,7455.24,7457.48,7408.79,531.53M,+AC0-0.43+ACU-
28/11/2023,7455.24,7460.7,7461.13,7403.25,599.93M,+AC0-0.07+ACU-
27/11/2023,7460.7,7488.2,7488.26,7452.18,398.90M,+AC0-0.37+ACU-
24/11/2023,7488.2,7483.58,7494.72,7450.12,528.51M,0.06+ACU-
23/11/2023,7483.58,7469.51,7494.77,7450.6,607.42M,0.19+ACU-
22/11/2023,7469.51,7481.99,7504.51,7452,627.38M,+AC0-0.17+ACU-
21/11/2023,7481.99,7496.36,7496.86,7446.68,518.87M,+AC0-0.19+ACU-
20/11/2023,7496.36,7504.25,7506,7472.65,466.75M,+AC0-0.11+ACU-
17/11/2023,7504.25,7410.97,7509,7410,667.07M,1.26+ACU-
16/11/2023,7410.97,7486.91,7492.84,7409.4,750.61M,+AC0-1.01+ACU-
15/11/2023,7486.91,7440.47,7533.77,7440.47,738.50M,0.62+ACU-
14/11/2023,7440.47,7425.83,7456.63,7386.66,881.44M,0.20+ACU-
13/11/2023,7425.83,7360.55,7426.14,7360.55,648.85M,0.89+ACU-
10/11/2023,7360.55,7455.67,7455.67,7319.96,833.64M,+AC0-1.28+ACU-
09/11/2023,7455.67,7401.72,7465.31,7367.21,657.63M,0.73+ACU-
08/11/2023,7401.72,7410.04,7442.09,7384.51,686.12M,+AC0-0.11+ACU-
07/11/2023,7410.04,7417.76,7431.14,7397.4,592.27M,+AC0-0.10+ACU-
06/11/2023,7417.76,7417.73,7448.36,7403.51,711.28M,0.00+ACU-
03/11/2023,7417.73,7446.53,7482.73,7396.57,750.57M,+AC0-0.39+ACU-
02/11/2023,7446.53,7342.43,7469.75,7342.43,972.52M,1.42+ACU-
01/11/2023,7342.43,7321.72,7385.39,7304.89,726.06M,0.28+ACU-
31/10/2023,7321.72,7327.39,7373.53,7309.04,805.34M,+AC0-0.08+ACU-
30/10/2023,7327.39,7291.28,7361.5,7291.28,1.01B,0.50+ACU-
27/10/2023,7291.28,7354.57,7380.33,7279.86,642.46M,+AC0-0.86+ACU-
26/10/2023,7354.57,7414.34,7414.34,7342.48,792.37M,+AC0-0.81+ACU-
25/10/2023,7414.34,7389.7,7428.11,7368.38,607.64M,0.33+ACU-
24/10/2023,7389.7,7374.83,7405.26,7324.99,697.31M,0.20+ACU-
23/10/2023,7374.83,7402.14,7402.2,7338.59,502.73M,+AC0-0.37+ACU-
20/10/2023,7402.14,7499.53,7499.62,7395.57,832.45M,+AC0-1.30+ACU-
19/10/2023,7499.53,7588,7588,7490.46,727.00M,+AC0-1.17+ACU-
18/10/2023,7588,7675.21,7681.5,7579.26,613.43M,+AC0-1.14+ACU-
17/10/2023,7675.21,7630.63,7682.63,7616.77,663.55M,0.58+ACU-
16/10/2023,7630.63,7599.6,7651.27,7584.64,522.40M,0.41+ACU-
13/10/2023,7599.6,7644.78,7660.05,7590.72,567.09M,+AC0-0.59+ACU-
12/10/2023,7644.78,7620.03,7687.91,7620.03,657.76M,0.32+ACU-
11/10/2023,7620.03,7628.21,7651.98,7608.67,623.85M,+AC0-0.11+ACU-
10/10/2023,7628.21,7492.21,7637.41,7492.21,702.69M,1.82+ACU-
09/10/2023,7492.21,7494.58,7540.57,7473.19,737.06M,+AC0-0.03+ACU-
06/10/2023,7494.58,7451.54,7496.42,7423.36,611.66M,0.58+ACU-
05/10/2023,7451.54,7412.45,7488.6,7409.74,615.22M,0.53+ACU-
04/10/2023,7412.45,7470.16,7490.18,7384.2,1.08B,+AC0-0.77+ACU-
03/10/2023,7470.16,7510.72,7545.67,7466.62,534.75M,+AC0-0.54+ACU-
02/10/2023,7510.72,7608.08,7630.41,7491.3,570.11M,+AC0-1.28+ACU-
29/09/2023,7608.08,7601.85,7674.19,7601.85,633.59M,0.08+ACU-
28/09/2023,7601.85,7593.22,7605.55,7524.11,633.80M,0.11+ACU-
27/09/2023,7593.22,7625.72,7645.55,7577.23,711.17M,+AC0-0.43+ACU-
26/09/2023,7625.72,7623.99,7656.94,7593.54,545.49M,0.02+ACU-
25/09/2023,7623.99,7683.91,7684.82,7580.81,538.94M,+AC0-0.78+ACU-
22/09/2023,7683.91,7678.62,7735.16,7640.8,984.62M,0.07+ACU-
21/09/2023,7678.62,7731.65,7746.53,7674.7,1.00B,+AC0-0.69+ACU-
20/09/2023,7731.65,7660.2,7741.9,7659.61,805.82M,0.93+ACU-
19/09/2023,7660.2,7652.94,7682.38,7642.36,595.49M,0.09+ACU-
18/09/2023,7652.94,7711.38,7720.14,7641.76,461.13M,+AC0-0.76+ACU-
15/09/2023,7711.38,7673.08,7745.82,7673.08,1.80B,0.50+ACU-
14/09/2023,7673.08,7525.99,7686.96,7525.99,740.69M,1.95+ACU-
13/09/2023,7525.99,7527.53,7545.16,7490.37,684.59M,+AC0-0.02+ACU-
12/09/2023,7527.53,7496.87,7550.24,7496.34,661.20M,0.41+ACU-
11/09/2023,7496.87,7478.19,7549.34,7467.35,564.85M,0.25+ACU-
08/09/2023,7478.19,7441.72,7480.64,7402.1,651.30M,0.49+ACU-
07/09/2023,7441.72,7426.14,7462.18,7385.92,453.22M,0.21+ACU-
06/09/2023,7426.14,7437.93,7447.94,7369.64,448.10M,+AC0-0.16+ACU-
05/09/2023,7437.93,7452.76,7481.35,7389.8,484.03M,+AC0-0.20+ACU-
04/09/2023,7452.76,7464.54,7523.4,7448.31,391.51M,+AC0-0.16+ACU-
01/09/2023,7464.54,7439.13,7492.63,7439.13,680.28M,0.34+ACU-
31/08/2023,7439.13,7473.67,7500.44,7439.13,1.14B,+AC0-0.46+ACU-
30/08/2023,7473.67,7464.99,7509.36,7464.73,533.76M,0.12+ACU-
29/08/2023,7464.99,7338.58,7471.14,7338.58,1.11B,1.72+ACU-
25/08/2023,7338.58,7333.63,7389.4,7326.97,363.80M,0.07+ACU-
24/08/2023,7333.63,7320.53,7386.08,7320.53,377.23M,0.18+ACU-
23/08/2023,7320.53,7270.76,7348.84,7270.76,874.76M,0.68+ACU-
22/08/2023,7270.76,7257.82,7310.52,7257.58,745.82M,0.18+ACU-
21/08/2023,7257.82,7262.43,7315.97,7250.88,469.44M,+AC0-0.06+ACU-
18/08/2023,7262.43,7310.21,7310.21,7215.76,571.46M,+AC0-0.65+ACU-
17/08/2023,7310.21,7356.88,7356.96,7305,438.19M,+AC0-0.63+ACU-
16/08/2023,7356.88,7389.64,7398.2,7338.53,686.64M,+AC0-0.44+ACU-
15/08/2023,7389.64,7507.15,7508.58,7369.69,463.07M,+AC0-1.57+ACU-
14/08/2023,7507.15,7524.16,7530.25,7476.45,1.14B,+AC0-0.23+ACU-
11/08/2023,7524.16,7618.6,7618.6,7507.84,487.00M,+AC0-1.24+ACU-
10/08/2023,7618.6,7587.3,7622.92,7572.61,636.54M,0.41+ACU-
09/08/2023,7587.3,7527.42,7600.79,7527.42,788.32M,0.80+ACU-
08/08/2023,7527.42,7554.49,7554.49,7487.47,862.21M,+AC0-0.36+ACU-
07/08/2023,7554.49,7564.37,7564.95,7505.15,483.36M,+AC0-0.13+ACU-
